R,d,θ,x,y,z
1.8,2.2,100,-0.38203,0,2.16658
1.8,2.2,105,-0.5694,0,2.12504
1.8,2.2,110,-0.75244,0,2.06732
1.8,2.2,115,-0.92976,0,1.99388
1.8,2.2,120,-1.1,0,1.90526
1.8,2.4,70,0.82085,0,2.25526
1.8,2.4,75,0.62117,0,2.31822
1.8,2.4,80,0.41676,0,2.36354
1.8,2.4,85,0.20917,0,2.39087
1.8,2.4,90,0.0,0,2.4
1.8,2.4,95,-0.20917,0,2.39087
1.8,2.4,100,-0.41676,0,2.36354
1.8,2.4,105,-0.62117,0,2.31822
1.8,2.4,110,-0.82085,0,2.25526
1.8,2.4,115,-1.01428,0,2.17514
1.8,2.4,120,-1.2,0,2.07846
1.8,2.6,70,0.88925,0,2.4432
1.8,2.6,75,0.67293,0,2.51141
1.8,2.6,80,0.45149,0,2.5605
1.8,2.6,85,0.2266,0,2.59011
1.8,2.6,90,0.0,0,2.6
1.8,2.6,95,-0.2266,0,2.59011
1.8,2.6,100,-0.45149,0,2.5605
1.8,2.6,105,-0.67293,0,2.51141
1.8,2.6,110,-0.88925,0,2.4432
1.8,2.6,115,-1.09881,0,2.3564
1.8,2.6,120,-1.3,0,2.25167
1.8,2.8,70,0.95766,0,2.63114
1.8,2.8,75,0.72469,0,2.70459
1.8,2.8,80,0.48621,0,2.75746
1.8,2.8,85,0.24404,0,2.78935
1.8,2.8,90,0.0,0,2.8
1.8,2.8,95,-0.24404,0,2.78935
1.8,2.8,100,-0.48621,0,2.75746
1.8,2.8,105,-0.72469,0,2.70459
1.8,2.8,110,-0.95766,0,2.63114
1.8,2.8,115,-1.18333,0,2.53766
1.8,2.8,120,-1.4,0,2.42487
2.0,2.0,70,0.68404,0,1.87939
2.0,2.0,75,0.51764,0,1.93185
2.0,2.0,80,0.3473,0,1.96962
2.0,2.0,85,0.17431,0,1.99239
2.0,2.0,90,0.0,0,2.0
2.0,2.0,95,-0.17431,0,1.99239
2.0,2.0,100,-0.3473,0,1.96962
2.0,2.0,105,-0.51764,0,1.93185
2.0,2.0,110,-0.68404,0,1.87939
2.0,2.0,115,-0.84524,0,1.81262
2.0,2.0,120,-1.0,0,1.73205
2.0,2.2,70,0.75244,0,2.06732
2.0,2.2,75,0.5694,0,2.12504
2.0,2.2,80,0.38203,0,2.16658
2.0,2.2,85,0.19174,0,2.19163
2.0,2.2,90,0.0,0,2.2
2.0,2.2,95,-0.19174,0,2.19163
2.0,2.2,100,-0.38203,0,2.16658
2.0,2.2,105,-0.5694,0,2.12504
2.0,2.2,110,-0.75244,0,2.06732
2.0,2.2,115,-0.92976,0,1.99388
2.0,2.2,120,-1.1,0,1.90526
2.0,2.4,70,0.82085,0,2.25526
2.0,2.4,75,0.62117,0,2.31822
2.0,2.4,80,0.41676,0,2.36354
2.0,2.4,85,0.20917,0,2.39087
2.0,2.4,90,0.0,0,2.4
2.0,2.4,95,-0.20917,0,2.39087
2.0,2.4,100,-0.41676,0,2.36354
2.0,2.4,105,-0.62117,0,2.31822
2.0,2.4,110,-0.82085,0,2.25526
2.0,2.4,115,-1.01428,0,2.17514
2.0,2.4,120,-1.2,0,2.07846
2.0,2.6,70,0.88925,0,2.4432
2.0,2.6,75,0.67293,0,2.51141
2.0,2.6,80,0.45149,0,2.5605
2.0,2.6,85,0.2266,0,2.59011
2.0,2.6,90,0.0,0,2.6
2.0,2.6,95,-0.2266,0,2.59011
2.0,2.6,100,-0.45149,0,2.5605
2.0,2.6,105,-0.67293,0,2.51141
2.0,2.6,110,-0.88925,0,2.4432
2.0,2.6,115,-1.09881,0,2.3564
2.0,2.6,120,-1.3,0,2.25167
2.0,2.8,70,0.95766,0,2.63114
2.0,2.8,75,0.72469,0,2.70459
2.0,2.8,80,0.48621,0,2.75746
2.0,2.8,85,0.24404,0,2.78935
2.0,2.8,90,0.0,0,2.8
2.0,2.8,95,-0.24404,0,2.78935
2.0,2.8,100,-0.48621,0,2.75746
2.0,2.8,105,-0.72469,0,2.70459
2.0,2.8,110,-0.95766,0,2.63114
2.0,2.8,115,-1.18333,0,2.53766
2.0,2.8,120,-1.4,0,2.42487
2.0,3.0,70,1.02606,0,2.81908
2.0,3.0,75,0.77646,0,2.89778
2.0,3.0,80,0.52094,0,2.95442
2.0,3.0,85,0.26147,0,2.98858
2.0,3.0,90,0.0,0,3.0
2.0,3.0,95,-0.26147,0,2.98858
2.0,3.0,100,-0.52094,0,2.95442
2.0,3.0,105,-0.77646,0,2.89778
2.0,3.0,110,-1.02606,0,2.81908
2.0,3.0,115,-1.26785,0,2.71892
2.0,3.0,120,-1.5,0,2.59808
2.2,2.2,70,0.75244,0,2.06732
2.2,2.2,75,0.5694,0,2.12504
2.2,2.2,80,0.38203,0,2.16658
2.2,2.2,85,0.19174,0,2.19163
2.2,2.2,90,0.0,0,2.2
2.2,2.2,95,-0.19174,0,2.19163
2.2,2.2,100,-0.38203,0,2.16658
2.2,2.2,105,-0.5694,0,2.12504
2.2,2.2,110,-0.75244,0,2.06732
2.2,2.2,115,-0.92976,0,1.99388
2.2,2.2,120,-1.1,0,1.90526
2.2,2.4,70,0.82085,0,2.25526
2.2,2.4,75,0.62117,0,2.31822
2.2,2.4,80,0.41676,0,2.36354
2.2,2.4,85,0.20917,0,2.39087
2.2,2.4,90,0.0,0,2.4
2.2,2.4,95,-0.20917,0,2.39087
2.2,2.4,100,-0.41676,0,2.36354
2.2,2.4,105,-0.62117,0,2.31822
2.2,2.4,110,-0.82085,0,2.25526
2.2,2.4,115,-1.01428,0,2.17514
2.2,2.4,120,-1.2,0,2.07846
2.2,2.6,70,0.88925,0,2.4432
2.2,2.6,75,0.67293,0,2.51141
