R,d,θ,x,y,z
1.4,1.6,70,0.54723,0,1.50351
1.4,1.6,75,0.41411,0,1.54548
1.4,1.6,80,0.27784,0,1.57569
1.4,1.6,85,0.13945,0,1.59391
1.4,1.6,90,0.0,0,1.6
1.4,1.6,95,-0.13945,0,1.59391
1.4,1.6,100,-0.27784,0,1.57569
1.4,1.6,105,-0.41411,0,1.54548
1.4,1.6,110,-0.54723,0,1.50351
1.4,1.6,115,-0.67619,0,1.45009
1.4,1.6,120,-0.8,0,1.38564
1.4,1.8,70,0.61564,0,1.69145
1.4,1.8,75,0.46587,0,1.73867
1.4,1.8,80,0.31257,0,1.77265
1.4,1.8,85,0.15688,0,1.79315
1.4,1.8,90,0.0,0,1.8
1.4,1.8,95,-0.15688,0,1.79315
1.4,1.8,100,-0.31257,0,1.77265
1.4,1.8,105,-0.46587,0,1.73867
1.4,1.8,110,-0.61564,0,1.69145
1.4,1.8,115,-0.76071,0,1.63135
1.4,1.8,120,-0.9,0,1.55885
1.4,2.0,70,0.68404,0,1.87939
1.4,2.0,75,0.51764,0,1.93185
1.4,2.0,80,0.3473,0,1.96962
1.4,2.0,85,0.17431,0,1.99239
1.4,2.0,90,0.0,0,2.0
1.4,2.0,95,-0.17431,0,1.99239
1.4,2.0,100,-0.3473,0,1.96962
1.4,2.0,105,-0.51764,0,1.93185
1.4,2.0,110,-0.68404,0,1.87939
1.4,2.0,115,-0.84524,0,1.81262
1.4,2.0,120,-1.0,0,1.73205
1.4,2.2,70,0.75244,0,2.06732
1.4,2.2,75,0.5694,0,2.12504
1.4,2.2,80,0.38203,0,2.16658
1.4,2.2,85,0.19174,0,2.19163
1.4,2.2,90,0.0,0,2.2
1.4,2.2,95,-0.19174,0,2.19163
1.4,2.2,100,-0.38203,0,2.16658
1.4,2.2,105,-0.5694,0,2.12504
1.4,2.2,110,-0.75244,0,2.06732
1.4,2.2,115,-0.92976,0,1.99388
1.4,2.2,120,-1.1,0,1.90526
1.4,2.4,70,0.82085,0,2.25526
1.4,2.4,75,0.62117,0,2.31822
1.4,2.4,80,0.41676,0,2.36354
1.4,2.4,85,0.20917,0,2.39087
1.4,2.4,90,0.0,0,2.4
1.4,2.4,95,-0.20917,0,2.39087
1.4,2.4,100,-0.41676,0,2.36354
1.4,2.4,105,-0.62117,0,2.31822
1.4,2.4,110,-0.82085,0,2.25526
1.4,2.4,115,-1.01428,0,2.17514
1.4,2.4,120,-1.2,0,2.07846
1.6,1.6,70,0.54723,0,1.50351
1.6,1.6,75,0.41411,0,1.54548
1.6,1.6,80,0.27784,0,1.57569
1.6,1.6,85,0.13945,0,1.59391
1.6,1.6,90,0.0,0,1.6
1.6,1.6,95,-0.13945,0,1.59391
1.6,1.6,100,-0.27784,0,1.57569
1.6,1.6,105,-0.41411,0,1.54548
1.6,1.6,110,-0.54723,0,1.50351
1.6,1.6,115,-0.67619,0,1.45009
1.6,1.6,120,-0.8,0,1.38564
1.6,1.8,70,0.61564,0,1.69145
1.6,1.8,75,0.46587,0,1.73867
1.6,1.8,80,0.31257,0,1.77265
1.6,1.8,85,0.15688,0,1.79315
1.6,1.8,90,0.0,0,1.8
1.6,1.8,95,-0.15688,0,1.79315
1.6,1.8,100,-0.31257,0,1.77265
1.6,1.8,105,-0.46587,0,1.73867
1.6,1.8,110,-0.61564,0,1.69145
1.6,1.8,115,-0.76071,0,1.63135
1.6,1.8,120,-0.9,0,1.55885
1.6,2.0,70,0.68404,0,1.87939
1.6,2.0,75,0.51764,0,1.93185
1.6,2.0,80,0.3473,0,1.96962
1.6,2.0,85,0.17431,0,1.99239
1.6,2.0,90,0.0,0,2.0
1.6,2.0,95,-0.17431,0,1.99239
1.6,2.0,100,-0.3473,0,1.96962
1.6,2.0,105,-0.51764,0,1.93185
1.6,2.0,110,-0.68404,0,1.87939
1.6,2.0,115,-0.84524,0,1.81262
1.6,2.0,120,-1.0,0,1.73205
1.6,2.2,70,0.75244,0,2.06732
1.6,2.2,75,0.5694,0,2.12504
1.6,2.2,80,0.38203,0,2.16658
1.6,2.2,85,0.19174,0,2.19163
1.6,2.2,90,0.0,0,2.2
1.6,2.2,95,-0.19174,0,2.19163
1.6,2.2,100,-0.38203,0,2.16658
1.6,2.2,105,-0.5694,0,2.12504
1.6,2.2,110,-0.75244,0,2.06732
1.6,2.2,115,-0.92976,0,1.99388
1.6,2.2,120,-1.1,0,1.90526
1.6,2.4,70,0.82085,0,2.25526
1.6,2.4,75,0.62117,0,2.31822
1.6,2.4,80,0.41676,0,2.36354
1.6,2.4,85,0.20917,0,2.39087
1.6,2.4,90,0.0,0,2.4
1.6,2.4,95,-0.20917,0,2.39087
1.6,2.4,100,-0.41676,0,2.36354
1.6,2.4,105,-0.62117,0,2.31822
1.6,2.4,110,-0.82085,0,2.25526
1.6,2.4,115,-1.01428,0,2.17514
1.6,2.4,120,-1.2,0,2.07846
1.6,2.6,70,0.88925,0,2.4432
1.6,2.6,75,0.67293,0,2.51141
1.6,2.6,80,0.45149,0,2.5605
1.6,2.6,85,0.2266,0,2.59011
1.6,2.6,90,0.0,0,2.6
1.6,2.6,95,-0.2266,0,2.59011
1.6,2.6,100,-0.45149,0,2.5605
1.6,2.6,105,-0.67293,0,2.51141
1.6,2.6,110,-0.88925,0,2.4432
1.6,2.6,115,-1.09881,0,2.3564
1.6,2.6,120,-1.3,0,2.25167
1.8,1.8,70,0.61564,0,1.69145
1.8,1.8,75,0.46587,0,1.73867
1.8,1.8,80,0.31257,0,1.77265
1.8,1.8,85,0.15688,0,1.79315
1.8,1.8,90,0.0,0,1.8
1.8,1.8,95,-0.15688,0,1.79315
1.8,1.8,100,-0.31257,0,1.77265
1.8,1.8,105,-0.46587,0,1.73867
1.8,1.8,110,-0.61564,0,1.69145
1.8,1.8,115,-0.76071,0,1.63135
1.8,1.8,120,-0.9,0,1.55885
1.8,2.0,70,0.68404,0,1.87939
1.8,2.0,75,0.51764,0,1.93185
1.8,2.0,80,0.3473,0,1.96962
1.8,2.0,85,0.17431,0,1.99239
1.8,2.0,90,0.0,0,2.0
1.8,2.0,95,-0.17431,0,1.99239
1.8,2.0,100,-0.3473,0,1.96962
1.8,2.0,105,-0.51764,0,1.93185
1.8,2.0,110,-0.68404,0,1.87939
1.8,2.0,115,-0.84524,0,1.81262
1.8,2.0,120,-1.0,0,1.73205
1.8,2.2,70,0.75244,0,2.06732
1.8,2.2,75,0.5694,0,2.12504
1.8,2.2,80,0.38203,0,2.16658
1.8,2.2,85,0.19174,0,2.19163
1.8,2.2,90,0.0,0,2.2
1.8,2.2,95,-0.19174,0,2.19163
